IMPACT_CATEGORY_ID,IMPACT_METHOD_ID,IMPACT_CATEGORY_NAME,IMPACT_CATEGORY_NAME_IN_METHOD
874e52fa-2604-4a66-9e5f-5caad3cebba3,cd086eff-2645-4f06-b500-dbfa1ae94285,non-hazardous waste disposed,
23576fd1-a750-4a99-a4d0-1e6e5954afff,9f706f7a-3b76-47f8-ad14-c97d61c06e63,acidification no LT,"acidification (incl. fate, average Europe total, A&B)"
b6bf4bfe-3de6-4895-95d8-3157e3b8f63c,9f706f7a-3b76-47f8-ad14-c97d61c06e63,climate change no LT,global warming (GWP100)
87bb037f-f25d-4753-8c24-7ca6cf68fb91,1bdce405-4884-4dea-ba55-397eba6ed51e,climate change,Climate change
c8ad7cce-4163-40f3-9787-8d8029ed6280,208ef1bf-6c80-401e-b773-54f0960c09d9,"ecotoxicity: freshwater, inorganics no LT","Ecotoxicity, freshwater_inorganics"
9f502272-74a6-4c72-bb17-053c9aa471a1,208ef1bf-6c80-401e-b773-54f0960c09d9,"human toxicity: carcinogenic, inorganics no LT","Human toxicity, cancer_inorganics"
87153a47-9107-409f-8dd2-388a834ece47,f1d1c1a0-8ecf-441c-8576-a18d463df41b,eutrophication: freshwater,"Eutrophication, freshwater"
71bf79a7-7532-4c33-9a88-fb973d43fd6a,78594638-6ea2-4bd2-b8ca-371494d952a7,eutrophication: freshwater no LT,"Eutrophication, freshwater"
57b4ac4e-08ab-4ac8-8c25-291dd3628c9e,e57693cf-ed07-416c-8831-58f044f1bd76,climate change: biogenic (excl. CO2) no LT,climate change
6d5ddc10-003c-4568-87ac-9979ca145fc1,e57693cf-ed07-416c-8831-58f044f1bd76,climate change: total (excl. biogenic CO2) no LT,climate change
929d6de6-ae0f-4694-8c39-2093dfa1f1e7,25583383-5a50-4fbf-9850-c9f2d57607b5,emissions to air,
03270185-68e1-4b90-9ef4-61988975d88e,25583383-5a50-4fbf-9850-c9f2d57607b5,resources,
dadeb39a-eeca-4dd4-a539-0dd298b855a6,25583383-5a50-4fbf-9850-c9f2d57607b5,waste disposal,
3baf6b3c-40a1-4f85-b5ef-0f859b83bbf4,25583383-5a50-4fbf-9850-c9f2d57607b5,waste disposal,
0a03d8a3-ad06-4e5a-9e6e-a13f4b45fff2,87a57579-d6c4-477c-a327-f863804a15aa,ecosystem quality,Terrestrial ecosystems
66f46fdd-5526-490c-9641-e1db30b63fae,b42b5d7d-371c-4c00-a601-cf9572670e00,ecosystem quality no LT,
53949dcf-03ea-493a-8427-94c8ee35fefd,dccd97fd-bfe2-4ff9-8616-50a835ddc2f0,human health,Human health
e406812a-0aa3-4ba6-bdf2-561300b6c54d,e1ba87fc-66bd-4be7-8b09-e4d14da279be,human health no LT,
2d41451f-e105-4c4a-9b7d-c25cae2fb3df,48197fde-fc9e-4563-8eb0-6ea9a5598a5c,human health no LT,
856b8c40-145a-4584-b288-c16d0fbbdbf8,48197fde-fc9e-4563-8eb0-6ea9a5598a5c,total: natural resources no LT,
869fe4a5-b5b9-4e26-a3f8-47949393ec1e,3b556c4d-862e-4fef-b735-ce7bd31a0217,ecotoxicity: freshwater,Freshwater ecotoxicity
2d5c9921-2b92-46d7-b833-bdb53f7d500f,3b556c4d-862e-4fef-b735-ce7bd31a0217,human toxicity: carcinogenic,Human toxicity: cancer
d2b8505c-553b-4015-a0ce-271905364655,6e67b147-f0eb-48eb-bc09-0260d78a8f59,ecotoxicity: freshwater no LT,
ba33cfc4-11be-41eb-9a44-8337f1f647a1,0310cf09-b06f-45ef-af69-b5a41880170d,land use,Land use
9288c1d0-9c57-42e3-ade8-afbd1722caa5,81928238-d7ba-45fc-9f28-af354c2b7dd3,photochemical oxidant formation: terrestrial ecosystems no LT,
d5cfa21a-d40b-4934-b11b-7cafceb2710d,be309eb5-a03c-4546-9608-81b504e08735,eutrophication: marine,Marine eutrophication
68363ea9-89de-42c1-b8d8-573969f98ec6,1b75e464-5938-4fbb-abc6-c15790d99ea7,eutrophication: marine no LT,
cc7b32bd-7e54-46ff-ad57-7ed2ce04e794,24cd9adc-bbf8-49bc-a452-7f57073d7c6f,particulate matter formation no LT,
7a57849a-be67-43cb-b6fc-5f453a6cef71,ebc9c6e7-cb4d-4531-bfeb-284a9696c3e1,human health no LT,Human health
8de23620-5372-4f05-9815-41aecbb401d1,7b047a8c-f78c-4100-b733-fad9eb0ed0ce,biogenic carbon content in accompanying packaging,
12e81523-afc9-4957-9b1e-8483091fb48f,1bdce405-4884-4dea-ba55-397eba6ed51e,acidification,Acidification
ada94810-deeb-48f3-b5a7-46bed60bd679,1bdce405-4884-4dea-ba55-397eba6ed51e,"human toxicity: carcinogenic, metals","Human toxicity, cancer_metals"
424ff0c8-6df4-4c4a-b789-b63147fc8fdc,1bdce405-4884-4dea-ba55-397eba6ed51e,water use,Water use
e39b7ff0-883a-454b-944d-7a1795f80fac,208ef1bf-6c80-401e-b773-54f0960c09d9,climate change: fossil no LT,Climate change-Fossil
0e952dea-4bf4-467f-bcf4-e86ca91004e5,208ef1bf-6c80-401e-b773-54f0960c09d9,"human toxicity: non-carcinogenic, organics no LT","Human toxicity, non-cancer_organics"
24277caf-315f-4c4c-8b79-523124ccea05,f1d1c1a0-8ecf-441c-8576-a18d463df41b,"human toxicity: non-carcinogenic, inorganics","Human toxicity, non-cancer_inorganics"
bab0fb39-9397-41e9-9572-3cd0902cd5f6,78594638-6ea2-4bd2-b8ca-371494d952a7,photochemical oxidant formation: human health no LT,Photochemical ozone formation - human health
8297d4a2-7828-47b8-ae23-8738d0480efa,6aa69c4d-9315-4ec7-802b-22e5ce740ea4,natural resources,Biotic resources
5a5936aa-44d8-46ee-b000-f996ecb8c331,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,emissions to soil no LT,Heavy metals into soil
33359a97-e0bb-4579-ae3b-a629a8ecc48d,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,ozone depletion no LT,Ozone layer depletion
9b75a4aa-d2a8-4373-b1cc-3fcbef1a5cc1,f7ccc5f2-24df-4135-bab9-d6d0d7eff96f,total no LT,
