PCR,DATABASE_VERSION,COMPANY_CODE,ITEM_CODE,ITEM_NAME,UNIT_PROCESS_ID,CONVERSION_FACTOR
CONS,ecoinvent-v3.11,ZG,14500,(未选)白云石,d0357c0e-e740-4de9-9d5f-2d59f7ab871b,1.0000000000
CONS,ecoinvent-v3.11,ZG,FB-MGO,,3557d36c-ab90-40ce-889f-d706fb13da80,1.0000000000
CONS,ecoinvent-v3.11,TA,103C6,粉矿-罗伊山MB粉矿,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,ZG,103C1,粉矿-卡拉加斯粉矿(球团用）,6e1de47f-7fb6-408c-9c62-7e2c42cd34af,1.0000000000
CONS,ecoinvent-v3.11,ZG,12558,锡锭,96be24b0-4bf5-4acd-a549-9f7f7120ae99,1.0000000000
CONS,ecoinvent-v3.11,ZG,1209,,be7ed2d3-e5ed-4cf3-985e-095c1f7bc7db,1.0000000000
CONS,ecoinvent-v3.11,ZG,FE-P25,,7e3dc6a9-41a5-4fd4-99ff-d7c8b18b14d8,1.0000000000
CONS,ecoinvent-v3.11,TA,11230,,a7aa8f57-5f44-410f-8141-0a47c8aa617f,1.0000000000
CONS,ecoinvent-v3.11,ZG,FG01,内部废钢,d14962f9-364e-4e2d-afb2-50f80b4de8f1,1.0000000000
CONS,ecoinvent-v3.11,TA,1325,,3bdd2e55-e55b-4adb-ab71-4b2a32a7feff,1.0000000000
CONS,ecoinvent-v3.11,ZG,12519,微碳铬铁,2fcac100-8d50-42d6-a085-04862c21a14e,1.0000000000
CONS,ecoinvent-v3.11,TA,12509,铝棒,e07974bc-42bb-447e-8af4-f33c4eeb9d86,1.0000000000
CONS,ecoinvent-v3.11,TA,1441,,e5060633-c0ad-4f2f-84df-80269af0b179,1.0000000000
CONS,ecoinvent-v3.11,TA,01-02-LT-GL,,9560e8c5-fcfe-43c1-93b7-88b07d27afe2,1.0000000000
